filepath,label,mic_type
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02006.wav,sin_desgaste,dinamico
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_004.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_006.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_304.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_013.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_018.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_015.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_072.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_283.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_377.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_589.wav,desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_027.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_589.wav,desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02118.wav,desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_078.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_407.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_461.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_007.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_196.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_271.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_492.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_591.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_503.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02115.wav,desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_013.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02075.wav,medianamente_desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_029.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_022.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02080.wav,medianamente_desgastado,dinamico
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_584.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_190.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_132.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_005.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02003.wav,sin_desgaste,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_014.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_379.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_481.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_009.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_021.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_051.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_026.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_008.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_005.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_023.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_004.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_119.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_172.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_030.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_257.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_020.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_303.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_572.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_028.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_014.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_222.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_011.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_026.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_221.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_006.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_049.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_274.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_012.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_388.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_455.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_024.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02005.wav,sin_desgaste,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_454.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_441.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_407.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_028.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_049.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_221.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_001.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_446.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_017.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_493.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_025.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_014.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_056.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_007.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_459.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_098.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_590.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_330.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_016.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_108.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_265.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_010.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02004.wav,sin_desgaste,dinamico
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_067.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_287.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_016.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_198.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_130.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02024.wav,medianamente_desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_580.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_010.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_365.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_018.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_017.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_145.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_468.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_241.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_289.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_386.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_382.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_100.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_571.wav,desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_028.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_138.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_157.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_019.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_018.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_300.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_148.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_473.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_026.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_100.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_115.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_309.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_444.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_151.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_230.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_205.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_305.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_579.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_012.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_475.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_096.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_463.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_310.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02036.wav,medianamente_desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_097.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_385.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_075.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_555.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_551.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_019.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_308.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_043.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_109.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_482.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_097.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_290.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_376.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_249.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_109.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_294.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_513.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_003.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_029.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_415.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_200.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_088.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_367.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_009.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_006.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_425.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_003.wav,sin_desgaste,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_010.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_169.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_045.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02002.wav,sin_desgaste,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_436.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_317.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02098.wav,medianamente_desgastado,dinamico
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_008.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_366.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_501.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_466.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_036.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_453.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_265.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02001.wav,sin_desgaste,dinamico
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_157.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_245.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_433.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_314.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_249.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_187.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_514.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_576.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_027.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_020.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_233.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_394.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_496.wav,medianamente_desgastado,condensador
